theatre: owens_valley  (66x89 @ 1500 m = 97.5 x 132.0 km)
relief:  345 - 4077 m AMSL
threats: long_range_surveillance, medium_sam_acquisition, short_range_point_defense, mobile_short_range, interceptor_seeker
k_earth: 1.2562 (measured, not the 4/3 default)
assumptions (not measured): n_max_g=5.0, roc_max_ms=120.0, gamma_max_rad=0.52, measured_civil_climb_p95_ms=13.3 (OpenSky) -- NOT used; see ASSUMED_CLIMB_RATE_MS, floor_agl_m=30.0, fuel_kg=3000.0, lock_dynamics=derived from radar scan period; not in any component spec
[baseline direct    @ level 0] surv 0.414 obj 0.418 shot 0.512 exp_early 0.389
[baseline avoid_nap @ level 0] surv 0.816 obj 0.816 shot 0.180 exp_early 0.268
[ 680] R     -9.8 cost  0.199 lam  2.69 | surv 0.613 obj 0.602 shot 0.191 exp_e 0.617 agl 5797 terr 0.066 oob 0.129 | red 0.10
[ 700] R      4.6 cost  0.133 lam  2.73 | surv 0.676 obj 0.676 shot 0.164 exp_e 0.675 agl 5809 terr 0.074 oob 0.086 | red 0.10
[ 720] R     -3.5 cost  0.180 lam  2.81 | surv 0.688 obj 0.688 shot 0.145 exp_e 0.598 agl 5516 terr 0.113 oob 0.055 | red 0.10
[ 740] R      3.9 cost  0.156 lam  2.88 | surv 0.676 obj 0.664 shot 0.152 exp_e 0.616 agl 5454 terr 0.055 oob 0.117 | red 0.10
[ 760] R      0.7 cost  0.156 lam  2.93 | surv 0.664 obj 0.652 shot 0.188 exp_e 0.597 agl 4828 terr 0.070 oob 0.078 | red 0.10
[ 780] R      8.1 cost  0.109 lam  2.97 | surv 0.727 obj 0.723 shot 0.125 exp_e 0.569 agl 5343 terr 0.039 oob 0.109 | red 0.10
[ 800] R     10.5 cost  0.090 lam  3.00 | surv 0.715 obj 0.711 shot 0.086 exp_e 0.680 agl 5824 terr 0.051 oob 0.148 | red 0.10
[ 820] R     14.8 cost  0.105 lam  3.05 | surv 0.656 obj 0.652 shot 0.141 exp_e 0.647 agl 6048 terr 0.023 oob 0.180 | red 0.10
[ 840] R      1.3 cost  0.141 lam  3.11 | surv 0.766 obj 0.762 shot 0.090 exp_e 0.603 agl 5592 terr 0.047 oob 0.098 | red 0.10
[ 860] R    -17.1 cost  0.254 lam  3.31 | surv 0.617 obj 0.617 shot 0.230 exp_e 0.689 agl 5709 terr 0.039 oob 0.113 | red 0.20
[ 880] R    -42.9 cost  0.246 lam  3.50 | surv 0.551 obj 0.547 shot 0.211 exp_e 0.684 agl 5632 terr 0.074 oob 0.164 | red 0.20
[ 900] R     -3.8 cost  0.121 lam  3.57 | surv 0.730 obj 0.723 shot 0.125 exp_e 0.706 agl 4937 terr 0.078 oob 0.066 | red 0.20
[ 920] R    -15.3 cost  0.207 lam  3.74 | surv 0.641 obj 0.625 shot 0.078 exp_e 0.640 agl 6104 terr 0.109 oob 0.172 | red 0.20
[ 940] R     11.7 cost  0.117 lam  3.84 | surv 0.566 obj 0.555 shot 0.121 exp_e 0.651 agl 5300 terr 0.090 oob 0.223 | red 0.20
[ 960] R     10.8 cost  0.121 lam  3.95 | surv 0.613 obj 0.605 shot 0.121 exp_e 0.665 agl 4380 terr 0.113 oob 0.152 | red 0.20
[ 980] R     -2.3 cost  0.148 lam  4.06 | surv 0.660 obj 0.656 shot 0.074 exp_e 0.648 agl 5127 terr 0.098 oob 0.168 | red 0.20
[1000] R     -9.2 cost  0.172 lam  4.17 | surv 0.672 obj 0.668 shot 0.086 exp_e 0.715 agl 5438 terr 0.066 oob 0.176 | red 0.20
